county,percent_bachelors
Anderson                        ,21.7
Bedford                         ,13
Benton                          ,13.8
Bledsoe                         ,8.6
Blount                          ,20.7
Bradley                         ,19.2
Campbell                        ,9.2
Cannon                          ,11.1
Carroll                         ,13.7
Carter                          ,13.8
Cheatham                        ,16.7
Chester                         ,14.2
Claiborne                       ,11.5
Clay                            ,11.4
Cocke                           ,8.6
Coffee                          ,18.4
Crockett                        ,14.2
Cumberland                      ,15.8
Davidson                        ,33.6
Decatur                         ,8.8
DeKalb                          ,10.6
Dickson                         ,15.5
Dyer                            ,13.8
Fayette                         ,17.8
Fentress                        ,9.3
Franklin                        ,17.1
Gibson                          ,14.6
Giles                           ,13.8
Grainger                        ,7.5
Greene                          ,12.8
Grundy                          ,9.2
Hamblen                         ,14.8
Hamilton                        ,26.9
Hancock                         ,7.3
Hardeman                        ,10.9
Hardin                          ,10
Hawkins                         ,12.2
Haywood                         ,12.8
Henderson                       ,10.9
Henry                           ,13.3
Hickman                         ,9
Houston                         ,7.1
Humphreys                       ,12.6
Jackson                         ,8.6
Jefferson                       ,13.5
Johnson                         ,10.4
Knox                            ,33
Lake                            ,4.7
Lauderdale                      ,8.7
Lawrence                        ,10.8
Lewis                           ,9.4
Lincoln                         ,15.9
Loudon                          ,21.3
McMinn                          ,14.3
McNairy                         ,9.7
Macon                           ,8.1
Madison                         ,24.4
Marion                          ,11
Marshall                        ,11.4
Maury                           ,16.1
Meigs                           ,9.6
Monroe                          ,11
Montgomery                      ,22.8
Moore                           ,14.3
Morgan                          ,5.4
Obion                           ,12.3
Overton                         ,10.1
Perry                           ,7.2
Pickett                         ,10.7
Polk                            ,9.3
Putnam                          ,21.7
Rhea                            ,11.2
Roane                           ,17.2
Robertson                       ,14
Rutherford                      ,26.4
Scott                           ,8.1
Sequatchie                      ,16.8
Sevier                          ,15.2
Shelby                          ,27.5
Smith                           ,12.2
Stewart                         ,10.7
Sullivan                        ,19.6
Sumner                          ,22.8
Tipton                          ,14.1
Trousdale                       ,9.7
Unicoi                          ,11.9
Union                           ,6.9
Van Buren                       ,8.7
Warren                          ,11.2
Washington                      ,26.9
Wayne                           ,7.9
Weakley                         ,18.7
White                           ,10.1
Williamson                      ,50.2
Wilson                          ,23.3
