county,labor_force,employed,unemployed,unemp_percent
Anderson,36210 ,32960 ,3250 ,9.0
Bedford,22950 ,20290 ,2660 ,11.6
Benton,7080 ,6190 ,880 ,12.5
Bledsoe,4900 ,4270 ,630 ,12.8
Blount,63590 ,58280 ,5310 ,8.4
Bradley,47910 ,43610 ,4300 ,9.0
Campbell,16720 ,14690 ,2030 ,12.1
Cannon,6530 ,5910 ,620 ,9.5
Carroll,13880 ,11850 ,2040 ,14.7
Carter,29620 ,26690 ,2930 ,9.9
Cheatham,20670 ,18810 ,1860 ,9.0
Chester,7820 ,7020 ,800 ,10.2
Claiborne,13000 ,11550 ,1450 ,11.1
Clay,3340 ,2930 ,410 ,12.2
Cocke,16520 ,14340 ,2180 ,13.2
Coffee,25550 ,22970 ,2580 ,10.1
Crockett,6660 ,5810 ,850 ,12.8
Cumberland,22900 ,20450 ,2450 ,10.7
Davidson,328690 ,299880 ,28810 ,8.8
Decatur,5680 ,4980 ,700 ,12.3
DeKalb,9890 ,8930 ,960 ,9.7
Dickson,23650 ,21310 ,2340 ,9.9
Dyer,17160 ,15010 ,2160 ,12.6
Fayette,17910 ,16000 ,1910 ,10.7
Fentress,7870 ,6950 ,920 ,11.7
Franklin,19640 ,17630 ,2010 ,10.2
Gibson,21660 ,18790 ,2870 ,13.3
Giles,13460 ,11740 ,1720 ,12.8
Grainger,10060 ,8770 ,1290 ,12.8
Greene,29790 ,25850 ,3940 ,13.2
Grundy,5980 ,5260 ,720 ,12.1
Hamblen,29590 ,26390 ,3200 ,10.8
Hamilton,165560 ,151580 ,13980 ,8.4
Hancock,2620 ,2220 ,400 ,15.4
Hardeman,11040 ,9570 ,1460 ,13.3
Hardin,12060 ,10670 ,1380 ,11.5
Hawkins,26940 ,24430 ,2520 ,9.3
Haywood,9250 ,7840 ,1410 ,15.2
Henderson,11740 ,9900 ,1850 ,15.7
Henry,13710 ,12060 ,1650 ,12.0
Hickman,10130 ,8940 ,1190 ,11.7
Houston,4000 ,3580 ,420 ,10.4
Humphreys,9220 ,8230 ,990 ,10.8
Jackson,4960 ,4390 ,570 ,11.4
Jefferson,24330 ,21400 ,2930 ,12.0
Johnson,7330 ,6360 ,980 ,13.3
Knox,232390 ,214800 ,17590 ,7.6
Lake,2740 ,2440 ,290 ,10.7
Lauderdale,9970 ,8400 ,1570 ,15.7
Lawrence,16540 ,14170 ,2380 ,14.4
Lewis,5480 ,4680 ,810 ,14.7
Lincoln,17350 ,16220 ,1130 ,6.5
Loudon,23640 ,21670 ,1970 ,8.3
McMinn,23200 ,20310 ,2890 ,12.4
McNairy,10970 ,9630 ,1340 ,12.2
Macon,10550 ,9500 ,1060 ,10.0
Madison,48370 ,43540 ,4840 ,10.0
Marion,12640 ,11310 ,1330 ,10.5
Marshall,12350 ,10320 ,2030 ,16.4
Maury,36060 ,30870 ,5200 ,14.4
Meigs,5170 ,4510 ,660 ,12.7
Monroe,18420 ,15880 ,2530 ,13.8
Montgomery,71490 ,64980 ,6510 ,9.1
Moore,3080 ,2780 ,300 ,9.6
Morgan,8840 ,7890 ,940 ,10.7
Obion,15120 ,13650 ,1470 ,9.7
Overton,9950 ,8890 ,1050 ,10.6
Perry,2680 ,2250 ,430 ,15.9
Pickett,1850 ,1590 ,260 ,14.3
Polk,7070 ,6250 ,820 ,11.6
Putnam,36300 ,33030 ,3270 ,9.0
Rhea,13280 ,11600 ,1680 ,12.6
Roane,27740 ,25520 ,2220 ,8.0
Robertson,34050 ,31080 ,2960 ,8.7
Rutherford,136960 ,125080 ,11880 ,8.7
Scott,8300 ,6740 ,1570 ,18.9
Sequatchie,6270 ,5610 ,660 ,10.5
Sevier,49190 ,44140 ,5050 ,10.3
Shelby,432370 ,389080 ,43290 ,10.0
Smith,9200 ,8240 ,960 ,10.4
Stewart,6080 ,5360 ,720 ,11.8
Sullivan,74840 ,68520 ,6320 ,8.4
Sumner,81140 ,74050 ,7090 ,8.7
Tipton,28190 ,25110 ,3080 ,10.9
Trousdale,3720 ,3330 ,390 ,10.5
Unicoi,8460 ,7580 ,880 ,10.4
Union,8890 ,8060 ,830 ,9.3
Van Buren,2340 ,2030 ,310 ,13.3
Warren,17100 ,15140 ,1960 ,11.5
Washington,63040 ,57840 ,5210 ,8.3
Wayne,6630 ,5790 ,830 ,12.6
Weakley,15810 ,13980 ,1830 ,11.6
White,10900 ,9600 ,1300 ,11.9
Williamson,90920 ,84500 ,6420 ,7.1
Wilson,59360 ,54450 ,4920 ,8.3
